Cycl,Times,Time,x,y,z,Bx,dBx,By,dBy,Bz,dBz
42,1573712501.97834,1573712505.97964,-2,-1.1,-7,-0.0186764,0.000047311,-0.0086112,0.000109586,-0.0883554,0.000673237
43,1573712512.94993,1573712516.94944,-2,-1.1,-8,-0.017804,0.000008155,-0.0064276,0.00000305,-0.0837128,0.000016177
44,1573712527.32795,1573712531.32774,-2,-1.1,-9,-0.0161664,0.000007829,-0.0035374,0.000007668,-0.083592,0.000028792
45,1573712541.86138,1573712545.86521,-2,-1.1,-10,-0.0143084,0.000001517,-0.0008346,0.000002881,-0.0842104,0.000004506
46,1573712556.4038,1573712560.40545,-2,-1.1,-11,-0.0119836,0.000006804,0.0018804,0.000002966,-0.0847298,0.000022621
47,1573712571.05846,1573712575.05873,-2,-1.1,-12,-0.0094892,0.00000228,0.003904,0.00000255,-0.0846704,0.000009915
48,1573712586.9875,1573712590.98797,-2,-1.1,-13,-0.0072956,0.000002074,0.004713,0.000001225,-0.0838584,0.000008295
49,1573712600.74056,1573712604.74124,-2,-1.1,-14,-0.004943,0.000001871,0.0048072,0.000001789,-0.0823386,0.000003975
50,1573712615.67574,1573712619.67589,-2,-1.1,-15,-0.002334,0.000003317,0.004667,0.000011358,-0.080425,0.00001505
51,1573712629.16523,1573712633.16527,-2,-1.1,-16,-0.0002294,0.000001817,0.0047558,0.000001643,-0.0789762,0.000005805
52,1573712641.66404,1573712645.66425,-2,-1.1,-17,0.002053,0.000001581,0.0053494,0.000001817,-0.0781082,0.00000719
53,1573712654.14278,1573712658.14377,-2,-1.1,-18,0.004612,0.00000469,0.0062144,0.000003209,-0.0791082,0.000014237
54,1573712668.26069,1573712672.26115,-2,-1.1,-19,0.0083756,0.000004037,0.0069916,0.000001517,-0.0848874,0.000022289
55,1573712681.83625,1573712685.8355,-2,-1.1,-20,0.0139272,0.000004207,0.0076524,0.000001517,-0.0984416,0.000005639
56,1573712694.33046,1573712698.33175,-2,-1.1,-21,0.0245356,0.000009581,0.0091142,0.000001789,-0.1311636,0.000025657
57,1573712705.89511,1573712709.89597,-2,-1.1,-22,0.042791,0.000023162,0.0128336,0.000003362,-0.1984304,0.000043062
58,1573712716.6434,1573712720.645,-2,-1.1,-23,0.0699502,0.000030874,0.0206676,0.000010262,-0.316712,0.000108028
59,1573712729.52256,1573712733.52389,-2,-1.1,-24,0.1139362,0.000176101,0.039468,0.000005477,-0.555632,0.000056303
