cyc,time,times,x,y,z,Bx,dBx,By,dBy,Bz,dBz
0,1573856358.74096,1573856360.86126,0,0,-5,-0.0127954,0.00003421,-0.0024122,0.00001946,-0.1300094,0.000036143
1,1573856365.68897,1573856367.35524,0,0,-6,-0.0183776,0.000002966,-0.0053364,0.000002191,-0.0977898,0.00000705
2,1573856372.10817,1573856373.77352,0,0,-7,-0.0209494,0.000001517,-0.0054164,0.000002074,-0.0891072,0.00000228
3,1573856377.63179,1573856379.29706,0,0,-8,-0.0223064,0.000002608,-0.0033248,0.000001789,-0.0913854,0.00000695
4,1573856383.61442,1573856385.27924,0,0,-9,-0.0221986,0.000009813,0.0027174,0.000002191,-0.103135,0.000007106
5,1573856389.38173,1573856391.04704,0,0,-10,-0.0202042,0.00001862,0.0184578,0.000001095,-0.1176028,0.000010183
6,1573856395.62402,1573856397.29124,0,0,-11,-0.0137682,0.00001969,0.0632024,0.000005128,-0.0878964,0.000016196
7,1573856401.90351,1573856403.57129,0,0,-12,-0.0031876,0.000001517,0.0789732,0.000000837,-0.051865,0.000005099
8,1573856408.6359,1573856410.30153,0,0,-13,0.0039012,0.000001304,0.0468418,0.000002683,-0.0475062,0.000001483
9,1573856415.0417,1573856416.70834,0,0,-14,0.0080014,0.000001673,0.0250598,0.000000837,-0.0428394,0.000001673
10,1573856422.0851,1573856423.75253,0,0,-15,0.0121462,0.000001095,0.0048382,0.000002168,-0.0376472,0.000002168
11,1573856428.86203,1573856430.52787,0,0,-16,0.0080998,0.000001643,-0.0309984,0.000002966,-0.0682986,0.000006542
12,1573856435.55585,1573856437.22316,0,0,-17,0.002391,0.000001225,-0.0398394,0.000001517,-0.0977894,0.000003286
13,1573856442.37723,1573856444.04455,0,0,-18,0.0002152,0.000001095,-0.0092366,0.000002608,-0.0906666,0.000008877
14,1573856449.23654,1573856450.90403,0,0,-19,-0.001601,0.000001871,0.0016018,0.000003564,-0.0881634,0.000019321
15,1573856455.19681,1573856456.86407,0,0,-20,-0.0048302,0.000001304,0.0035412,0.00000249,-0.0994948,0.000006419
16,1573856462.13897,1573856463.80559,0,0,-21,-0.0100798,0.000002168,0.0021522,0.000001789,-0.1290224,0.000011589
17,1573856469.2714,1573856470.93909,0,0,-22,-0.0211534,0.000001517,-0.0002452,0.00000249,-0.1938288,0.000002775
18,1573856476.06292,1573856478.16677,0,0,-23,-0.043979,0.00000946,-0.0028348,0.000000447,-0.320598,0.000004472
19,1573856482.74285,1573856484.40948,0,0,-24,-0.0862096,0.000033508,-0.0045498,0.000001924,-0.550978,0.000008367
