cyc,times,time,x,y,z,Bx,dBx,By,dBy,Bz,dBz
53,1574108451.7333,1574108452.93606,8.5,0,1,72.3094,0.040673087,-1.23348,0.021377839,0.540984,0.000153069
54,1574108462.3554,1574108463.55683,8.5,0,3,60.1116,0.054012036,-1.26898,0.028975024,0.581878,0.000087864
55,1574108469.54475,1574108470.74552,8.5,0,5,53.5072,0.041445144,1.6739,0.617229572,0.61651,0.000025495
56,1574108479.9629,1574108481.16551,8.5,0,7,50.0372,0.975544053,5.09824,0.138425695,0.646498,0.000140961
57,1574108488.09962,1574108489.30315,8.5,0,9,34.3532,0.005761944,6.64612,0.015817459,0.67021,0
58,1574108495.36541,1574108496.56976,8.5,0,11,22.3018,0.00609918,9.07142,0.012692596,0.690936,0.000005477
59,1574108502.9855,1574108504.18821,8.5,0,13,10.82128,0.002320991,10.62848,0.024608881,0.70383,0.00001
60,1574108510.58501,1574108511.78479,8.5,0,15,-0.05844,0.002240089,12.37262,0.007886824,0.710102,0.000004472
61,1574108520.00066,1574108521.20331,8.5,0,17,-9.83976,0.001778482,12.73058,0.014308459,0.71038,0.000014142
62,1574108527.48676,1574108528.68629,8.5,0,19,-19.36634,0.019786182,12.3937,0.057933928,0.704988,0.000029496
63,1574108535.40487,1574108536.60554,8.5,0,21,-27.35972,0.008057419,10.76092,0.019713117,0.694704,0.000008944
64,1574108543.65709,1574108544.85634,8.5,0,23,-34.146,0.007071068,4.78236,0.110858031,0.67772,0.000007071
